,person_id,comp_f_min_score,comp_f_min_decile,comp_f_max_score,comp_f_max_decile,comp_r_min_score,comp_r_min_decile,comp_r_max_score,comp_r_max_decile,comp_v_min_score,comp_v_min_decile,comp_v_max_score,comp_v_max_decile
0,1,13,1,13,1,-2.78,1,-2.78,1,-4.31,1,-4.31,1
1,2,16,2,16,2,-0.34,5,-0.34,5,-2.75,2,-2.75,2
2,3,25,6,25,6,-0.76,3,-0.76,3,-3.07,1,-3.07,1
3,4,26,7,26,7,-0.66,4,-0.66,4,-2.26,3,-2.26,3
6,7,19,3,19,3,-1.93,1,-1.93,1,-3.3,1,-3.3,1
7,8,30,8,30,8,-0.16,6,-0.16,6,-2.89,2,-2.89,2
8,9,20,3,20,3,-0.72,4,-0.72,4,-2.44,3,-2.44,3
9,10,13,1,13,1,-1.73,1,-1.73,1,-3.37,1,-3.37,1
10,11,17,2,17,2,0.82,10,0.82,10,-0.83,9,-0.83,9
11,12,11,1,11,1,-0.72,5,-0.72,5,-2.42,3,-2.42,3
12,13,21,4,21,4,-0.79,3,-0.79,3,-1.84,5,-1.84,5
13,14,15,1,15,1,-0.69,4,-0.69,4,-2.12,4,-2.12,4
14,15,23,5,23,5,-0.3,6,-0.3,6,-2.06,4,-2.06,4
15,16,13,1,13,1,-1.67,1,-1.67,1,-3.14,1,-3.14,1
16,17,11,1,11,1,-0.98,3,-0.98,3,-1.92,5,-1.92,5
17,18,17,2,17,2,-0.73,4,-0.73,4,-2.85,2,-2.85,2
18,19,22,5,22,5,-1.82,1,-1.82,1,-3.61,1,-3.61,1
19,20,19,3,19,3,-0.96,3,-0.96,3,-2.82,2,-2.82,2
20,21,12,1,12,1,-2.0,1,-2.0,1,-3.43,1,-3.43,1
21,22,18,3,18,3,0.89,10,0.89,10,-0.84,9,-0.84,9
22,23,18,3,18,3,-0.4,5,-0.4,5,-2.22,4,-2.22,4
23,24,12,1,12,1,-0.87,3,-0.87,3,-2.7,2,-2.7,2
24,25,27,7,27,7,-0.15,6,-0.15,6,-2.3,3,-2.3,3
25,26,25,6,25,6,0.5,9,0.5,9,-0.63,9,-0.63,9
26,27,15,1,15,1,-1.14,2,-1.14,2,-2.55,3,-2.55,3
27,28,11,1,11,1,-0.92,4,-0.92,4,-1.88,5,-1.88,5
28,29,21,4,21,4,-1.0,-1,-1.0,-1,-1.56,6,-1.56,6
29,30,12,1,12,1,-0.71,4,-0.71,4,-1.8,5,-1.8,5
30,31,19,3,19,3,-0.8,3,-0.8,3,-3.18,1,-3.18,1
31,32,17,2,17,2,-1.68,1,-1.68,1,-2.92,2,-2.92,2
32,33,17,2,17,2,-0.83,3,-0.83,3,-2.2,4,-2.2,4
33,34,29,9,29,9,0.39,9,0.39,9,-1.89,5,-1.89,5
34,35,18,3,18,3,-0.25,6,-0.25,6,-2.21,4,-2.21,4
35,36,17,2,17,2,-1.99,1,-1.99,1,-3.61,1,-3.61,1
36,37,12,1,12,1,-0.93,3,-0.93,3,-2.55,3,-2.55,3
37,38,23,6,23,6,-1.23,3,-1.23,3,-3.11,1,-3.11,1
38,39,15,1,15,1,0.07,7,0.07,7,-1.27,7,-1.27,7
39,40,26,7,26,7,0.82,10,0.82,10,-1.67,6,-1.67,6
40,41,28,8,28,8,0.55,9,0.56,9,-0.43,10,-0.21,10
41,42,20,3,20,3,0.25,8,0.25,8,-2.3,3,-2.3,3
