,gender_male,age_at_release,gang_affiliated,supervision_risk_score_first,education_level,dependents,prison_years,prior_arrest_episodes_felony,prior_arrest_episodes_misd,prior_arrest_episodes_violent,prior_arrest_episodes_property,prior_arrest_episodes_drug,prior_arrest_episodes_ppviolationcharges,prior_arrest_episodes_dvcharges,prior_arrest_episodes_guncharges,condition_mh_sa,condition_cog_ed,condition_other,violations_electronicmonitoring,violations_instruction,violations_failtoreport,violations_movewithoutpermission,delinquency_reports,program_attendances,residence_changes,avg_days_per_drugtest,drugtests_thc_positive,drugtests_cocaine_positive,drugtests_meth_positive,drugtests_other_positive,percent_days_employed,recidivism_within_3years
0,1,43-47,0,3.0,at least some college,3,more than 3 years,6,6,1,3,3,4,0,0,1,1,0,0,0,0,0,0,6,2,612.0,0.0,0.0,0.0,0.0,0.488562092,0
1,1,33-37,0,6.0,less than hs diploma,1,more than 3 years,7,6,3,0,3,5,1,0,0,0,0,0,1,0,0,4,0,2,35.66666667,0.0,0.0,0.0,0.0,0.425233645,1
2,1,48 or older,0,7.0,at least some college,3,1-2 years,6,6,3,2,2,5,1,0,1,1,0,0,1,0,1,4,6,0,93.66666667,0.333333343,0.0,0.166666672,0.0,0.0,1
3,1,38-42,0,7.0,less than hs diploma,1,1-2 years,8,6,0,3,3,3,0,0,1,1,0,0,0,0,0,0,6,3,25.4,0.0,0.0,0.0,0.0,1.0,0
4,1,33-37,0,4.0,less than hs diploma,3,1-2 years,4,4,3,2,1,3,1,0,1,1,1,0,0,0,0,0,7,0,23.11764706,0.0,0.0,0.05882353,0.0,0.203562341,1
5,1,38-42,0,5.0,high school diploma,0,more than 3 years,4,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,474.6,0.0,0.0,0.0,0.0,0.674252002,0
6,1,48 or older,0,2.0,less than hs diploma,2,less than 1 year,10,6,1,5,1,5,0,1,0,0,0,0,0,0,0,0,0,1,238.5,0.0,0.0,0.0,0.0,0.0,1
7,1,38-42,0,5.0,high school diploma,3,greater than 2 to 3 years,6,6,3,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,34.775,0.0,0.0,0.0,0.0,0.469446441,0
8,0,43-47,0,7.0,high school diploma,0,less than 1 year,10,4,2,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,1,43-47,0,5.0,high school diploma,3,more than 3 years,10,6,3,5,2,5,1,1,0,1,1,0,0,0,0,0,0,0,27.8,0.0,0.0,0.0,0.0,0.35971223,1
10,1,43-47,0,3.0,less than hs diploma,1,1-2 years,3,6,2,1,1,3,1,0,1,1,0,1,1,0,0,0,9,2,42.8,0.300000012,0.0,0.300000012,0.0,1.0,1
11,1,33-37,0,5.0,high school diploma,3,1-2 years,10,1,1,1,2,3,0,0,1,1,1,0,1,0,0,4,10,0,8.04,0.039999999,0.0,0.079999998,0.0,0.0,1
13,1,33-37,1,7.0,high school diploma,0,1-2 years,10,3,1,1,5,5,0,0,1,0,1,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,1
14,1,33-37,0,7.0,less than hs diploma,1,greater than 2 to 3 years,9,3,2,2,4,4,0,1,1,1,1,0,0,0,0,0,6,1,98.75,0.0,0.0,0.0,0.0,0.0,0
15,1,33-37,0,4.0,less than hs diploma,3,more than 3 years,4,6,0,0,3,4,0,1,1,1,0,0,0,1,0,0,2,0,74.5,0.0,0.0,0.0,0.0,0.338926174,0
16,1,38-42,0,6.0,less than hs diploma,3,1-2 years,10,5,2,3,3,4,1,0,1,1,0,0,0,0,0,0,10,0,114.5,0.0,0.0,0.0,0.0,0.545851528,1
17,1,43-47,0,1.0,high school diploma,3,less than 1 year,10,6,0,5,0,5,1,1,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.452138493,1
18,1,48 or older,0,7.0,at least some college,3,more than 3 years,10,4,0,5,0,5,0,0,0,1,0,0,0,0,0,3,0,2,43.66666667,0.0,0.0,0.0,0.0,0.918575064,0
19,1,48 or older,0,3.0,less than hs diploma,0,1-2 years,10,6,0,5,1,5,0,1,1,1,0,0,0,0,0,4,0,1,228.0,0.0,0.0,0.0,0.0,0.794736842,1
20,1,38-42,0,3.0,high school diploma,3,less than 1 year,6,6,3,1,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0
