,gender_male,gang_affiliated,supervision_risk_score_first,dependents,prior_arrest_episodes_felony,prior_arrest_episodes_misd,prior_arrest_episodes_violent,prior_arrest_episodes_property,prior_arrest_episodes_drug,prior_arrest_episodes_ppviolationcharges,prior_arrest_episodes_dvcharges,prior_arrest_episodes_guncharges,condition_mh_sa,condition_cog_ed,condition_other,violations_electronicmonitoring,violations_instruction,violations_failtoreport,violations_movewithoutpermission,delinquency_reports,program_attendances,residence_changes,avg_days_per_drugtest,drugtests_thc_positive,drugtests_cocaine_positive,drugtests_meth_positive,drugtests_other_positive,percent_days_employed,recidivism_within_3years,age_at_release_18-22,age_at_release_23-27,age_at_release_28-32,age_at_release_33-37,age_at_release_38-42,age_at_release_43-47,age_at_release_48 or older,education_level_at least some college,education_level_high school diploma,education_level_less than hs diploma,prison_years_1-2 years,prison_years_greater than 2 to 3 years,prison_years_less than 1 year,prison_years_more than 3 years
0,1,0,3.0,3,6,6,1,3,3,4,0,0,1,1,0,0,0,0,0,0,6,2,612.0,0.0,0.0,0.0,0.0,0.488562092,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,0,6.0,1,7,6,3,0,3,5,1,0,0,0,0,0,1,0,0,4,0,2,35.66666667,0.0,0.0,0.0,0.0,0.425233645,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2,1,0,7.0,3,6,6,3,2,2,5,1,0,1,1,0,0,1,0,1,4,6,0,93.66666667,0.333333343,0.0,0.166666672,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3,1,0,7.0,1,8,6,0,3,3,3,0,0,1,1,0,0,0,0,0,0,6,3,25.4,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
4,1,0,4.0,3,4,4,3,2,1,3,1,0,1,1,1,0,0,0,0,0,7,0,23.11764706,0.0,0.0,0.05882353,0.0,0.203562341,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
5,1,0,5.0,0,4,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,474.6,0.0,0.0,0.0,0.0,0.674252002,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,1,0,2.0,2,10,6,1,5,1,5,0,1,0,0,0,0,0,0,0,0,0,1,238.5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7,1,0,5.0,3,6,6,3,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,34.775,0.0,0.0,0.0,0.0,0.469446441,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
8,0,0,7.0,0,10,4,2,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
9,1,0,5.0,3,10,6,3,5,2,5,1,1,0,1,1,0,0,0,0,0,0,0,27.8,0.0,0.0,0.0,0.0,0.35971223,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10,1,0,3.0,1,3,6,2,1,1,3,1,0,1,1,0,1,1,0,0,0,9,2,42.8,0.300000012,0.0,0.300000012,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
11,1,0,5.0,3,10,1,1,1,2,3,0,0,1,1,1,0,1,0,0,4,10,0,8.04,0.039999999,0.0,0.079999998,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12,1,1,7.0,0,10,3,1,1,5,5,0,0,1,0,1,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
13,1,0,7.0,1,9,3,2,2,4,4,0,1,1,1,1,0,0,0,0,0,6,1,98.75,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
14,1,0,4.0,3,4,6,0,0,3,4,0,1,1,1,0,0,0,1,0,0,2,0,74.5,0.0,0.0,0.0,0.0,0.338926174,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
15,1,0,6.0,3,10,5,2,3,3,4,1,0,1,1,0,0,0,0,0,0,10,0,114.5,0.0,0.0,0.0,0.0,0.545851528,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
16,1,0,1.0,3,10,6,0,5,0,5,1,1,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.452138493,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
17,1,0,7.0,3,10,4,0,5,0,5,0,0,0,1,0,0,0,0,0,3,0,2,43.66666667,0.0,0.0,0.0,0.0,0.918575064,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
18,1,0,3.0,0,10,6,0,5,1,5,0,1,1,1,0,0,0,0,0,4,0,1,228.0,0.0,0.0,0.0,0.0,0.794736842,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
19,1,0,3.0,3,6,6,3,1,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20,1,0,5.0,3,10,6,0,1,5,5,0,0,1,1,0,0,0,0,0,0,6,0,22.85,0.050000001,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
21,0,0,4.0,0,2,6,3,5,0,1,1,0,1,1,0,0,0,0,0,0,6,0,15.5,0.0,0.0,0.055555556,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
22,0,0,5.0,0,10,6,3,5,1,5,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.99137931,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
23,1,0,5.0,3,10,6,3,1,5,5,1,0,0,0,0,0,0,0,0,0,0,1,196.0,0.0,0.0,0.0,0.0,0.196428571,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
24,1,0,2.0,1,9,5,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
25,1,0,2.0,0,9,6,0,0,2,5,0,0,1,0,1,0,0,0,0,4,6,0,31.0,0.0,0.0,0.0,0.0,0.806451613,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
26,1,0,3.0,0,10,6,3,5,1,5,0,0,1,1,0,0,0,0,0,0,5,1,43.14285714,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
27,1,0,6.0,0,7,6,0,5,0,2,0,1,1,1,0,0,0,0,0,0,0,3,357.4,0.0,0.0,0.0,0.0,0.895355344,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
28,1,0,10.0,0,5,2,0,2,4,1,0,0,1,0,1,0,0,0,0,0,0,3,1087.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
29,1,0,10.0,0,10,6,3,5,0,5,1,1,1,0,1,0,1,0,0,4,2,0,23.8,0.0,0.0,0.200000003,0.200000003,0.714285714,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
30,0,0,9.0,0,10,6,2,5,0,4,0,0,1,1,0,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
31,1,1,8.0,1,10,2,3,4,2,5,0,1,1,1,0,0,0,0,0,0,6,0,101.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,0,0,10.0,3,10,6,0,5,5,5,0,0,1,0,0,0,0,0,0,0,6,0,44.625,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
33,1,0,4.0,0,5,6,1,0,4,5,0,1,0,0,0,0,0,0,0,2,3,0,12.71428571,0.285714298,0.0,0.285714298,0.142857149,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
34,1,0,2.0,0,10,6,1,5,4,4,0,0,1,0,0,0,1,0,1,4,1,2,27.72727273,0.0,0.227272734,0.0,0.0,0.654098361,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
35,1,0,3.0,2,10,6,3,1,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
36,1,1,6.0,0,10,6,0,5,0,5,0,0,1,1,0,0,1,0,1,3,0,1,71.06666667,0.06666667,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
37,1,0,3.0,3,8,6,2,2,1,5,0,0,1,0,1,0,0,0,0,0,4,0,13.16666667,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
38,0,0,2.0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.981412639,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
39,1,0,10.0,1,10,6,1,5,1,5,0,0,1,1,1,0,0,0,0,2,4,1,16.28571429,0.142857149,0.0,0.285714298,0.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
40,1,0,3.0,3,9,4,3,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,136.5,0.0,0.0,0.0,0.0,0.886446886,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
41,0,0,2.0,0,10,6,3,5,1,5,0,0,1,0,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
42,1,0,9.0,3,10,6,2,4,4,5,0,1,1,1,1,0,0,1,0,4,10,0,145.5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
43,1,1,5.0,0,8,6,3,2,2,5,0,1,1,1,1,0,0,0,0,4,0,2,56.33333333,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
44,1,0,4.0,3,5,4,1,1,0,3,0,0,0,0,1,1,0,0,0,0,4,0,25.77272727,0.0,0.0,0.0,0.0,0.50617284,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
45,1,0,4.0,2,4,6,0,2,3,4,0,0,1,0,0,0,0,0,0,4,6,0,16.86,0.059999999,0.0,0.039999999,0.039999999,0.985765125,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
46,1,0,3.0,1,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,10,0,97.8,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
47,1,0,4.0,3,6,2,0,2,2,1,0,1,1,0,0,0,0,0,0,0,6,3,109.3333333,0.0,0.0,0.0,0.0,0.734756098,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
48,1,0,9.0,0,7,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,50.31578947,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
49,0,0,7.0,0,10,6,0,5,5,5,0,1,1,1,0,0,1,0,0,4,10,3,33.84848485,0.0,0.0,0.030303031,0.0,0.064458371,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
50,1,0,9.0,0,10,6,1,5,4,5,0,0,1,1,1,0,0,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
51,1,0,8.0,3,6,3,1,1,1,4,1,0,1,1,0,0,1,1,1,4,10,3,15.87878788,0.060606062,0.0,0.030303031,0.030303031,0.286259542,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
52,1,0,5.0,3,10,6,2,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
