Reported by,Year of Study Release,Population targeted by study,Population specifics,Program type (if any),Recidivism definition,Finding or Recidivism Rate,Other findings,Location 1
,2005,Juveniles,Juveniles,,Reincarcerated within 2 years of release,66% of juveniles recidivated,,Alabama
Alabama Department of Corrections,2007,Adult ,"10,956 persons released in 2003",None,Reincarcerated within 3 years of release,27.90%,"Rates by offense: Robbery (30.3%), Burglary (39.7%), Forgery (32.6%), Rape & Sex Offenses (22.6%), Assault (21.6%), Drugs (24%); Rates by ethnicity & gender: black male (28.7%), white male (28.9%), white female (23.6%), black female (19.8%), male (28.7%), female (21.9%)",Alabama
Alaska Judicial Council,2007,Felons,"1,798 offenders with at least one felony conviction in 1999",None,"Rearrested, new court case filed, reconvicted, and reincarcerated within 3 years of release from prison",66% reincarcerated at least once for a new offense or probation/parole violation; 59% arrested at least once for a new offense,"Younger offenders had higher recidivism rates, property offenders had higher re-arrest rates, sex offenders had lowest re-arrest rates, indigent offenders had 22% higher r -arrest rates than those with private attorneys. Those with alcohol problems had slightly higher recidivism rates (57% compared to 50%). 62% of those with drug problems recidivated compared to 57% of those without drug problems. An offender's ethnicity (if Native), prior criminal history, alcohol, drug and mental health problems were other factors that increased the chance of re-arrest. A great majority of re-arrests had occurred by the end of two years after initial arrest.",Alaska
Alaska Judicial Council,2007,Felons,117 offenders participating in  therapeutic courts (alcohol and drug programs) charged mostly with felonies in 1999,Drug Court/Therapeutic courts,New arrest or new conviction 1 year after release from program or prison,13% of graduates were rearrested within one year after completing a therapeutic court program compared to a 32% rearrest rate for comparison offenders,"The longer individuals were in programs the less likely they were to recidivate, even if they did not graduate the program. Younger participants more likely to recidivate. Those in DUI court were less likely to be arrested than those in drug court. Blacks did not respond as well to therapeutic programs as whites. Those who were discharged, or voluntarily left, had similar recidivism rates to those not in the programs.",Alaska
"Alaska Department of Corrections, Offender Programs, and the Alaska Justice Statistical Analysis Unit, Justice Center, University of Alaska Anchorage.",1996,Sex Offenders,685 sex offenders in treatment center from 1987-1995,Sex Offender Treatment,Varied,Unspecified: those in program longer took longer to reoffend than those in program for shorter periods,"The study found that any treatment lowered recidivism rates relative to no treatment for sex offenders; for all offenders who completed the advanced stage, none were rearrested for sexual offenses; those with no history of abuse advanced further in the program, and those with a history tended to leave at earlier stages of the program.",Alaska
Arizona Department of Corrections,2005,Felons,"54,660 prisoners released from 1990-1999",None,Reincarceration after 3 years of release,"42.4% returned to custody for any reason, 24.5% returned to custody with a new criminal commitment, 23.2% acquired a new felony conviction, 5.9% acquired a new felony conviction for a violent crime, 30.9% committed a new felony offense, and 7.9% committed a new violent felony offense resulting in recommitment","Those who participated in work and education programs, vocational education, and substance abuse treatment had recidivism reduced by an average of 25%. Prison industry programs reduced recidivism by approximately 34%.",Arizona
Arizona Criminal Justice Commission (Statistical Analysis Center Publication),2009,Sex Offenders,"538 sex offenders released in 2001; however, n=290 because the status of 232 of these individuals labeled as sex offenders could not be confirmed and were subsequently excluded from the study sample.",None,Percent rearrested for any type of crime,28.60%,"58% of non-sex offenders were rearrested for a new crime within 3 years of release. 56.7% of sex offenders who were rearrested were charged with a felony. This is higher than the 41.6% of non-sex offenders who were rearrested for a felony offense. Latino men (45.8%) released in 2001 were more likely than Caucasian men (22.8%) to be rearrested for a new crime within the first 3 years of release. Latino men (5.1%) and black men (3.0%) had the highest rearrest rates for another sex crime compared to Caucasian men (1.9%).The younger the prisoner when released, the higher the rate of recidivism--63.3% of offenders under the age of 25 at release were rearrested for some type of crime within 3 years compared to 21% of those age 45 or older.",Arizona
Arkansas  Department of Corrections,2007,Felons,"12,379 persons released in 2003 or 2004",None,Reincarcerated within 3 years of release from prison,47.4% of all those released in 2003 were reincarcerated by 2006; 44.4% of all those released in 2004 were reincarcerated by 2007,"Those on parole experienced higher rates of recidivism than those were simply discharged. Males age 25-34 were shown to be most at risk of recidivating, as were those 18-24 years old.",Arkansas
Arkansas  Department of Corrections,2006,Felons,"6,015 persons released in 2002",None,Reincarcerated within 3 years of release from prison starting from 2002,49.4% of persons released in 2002 were reincarcerated by 2005,"Of the 5, 841 parolees released, 2,938 or 50.3% recidivated. Of the 174 offenders discharged, 31, or 17.8% recidivated. At the end of the 3-year period, African Americans, who accounted for 2,618 releases, recidivated at a slightly higher rate (51%) than Caucasians (49%), who accounted for 3,292 of releases; The return rate for Hispanics was significantly less at 17.3%, accounting for 75 releases in 2002.",Arkansas
Arkansas  Department of Corrections,2005,Felons,"5,962 persons released in 2001",None,Reincarcerated within 3 years of release from prison starting from 2001,51.4% of persons released in 2001 were reincarcerated by 2004,Parolees demonstrated a 52.6% recidivism rate while discharged persons experienced a 12.5% recidivism rate.  African Americans recidivated at a slightly higher recidivism rate  (54%) than Caucasians (50%) while 28% of Hispanics recidivated.,Arkansas
