JURISDICTION,SEX,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,,,,,,,,
,,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Total Admissions,Total Releases,Difference,%,% point diff,AVG Prison Pop.,AVG Parole Violators,AVG % Violators / Pop.
National Statistics (U.S. Total) ,Total,389734,643062,"207,755","1,394,231",405422,"635,561","220,064","1,404,032",433959,"640,349","213,455","1,440,144",445556,"662,857","205,062","1,468,601",457096,"680,587","226,211","1,497,100",470149,"708,989","239,560","1,525,910",492315,"716,585","246,571","1,568,674",479710,"727,364","252,775","1,596,835",477100,"740,976","253,035","1,608,282",474997,"738,992","242,347","1,615,487",458360,"714,231","231,917","1,613,803",454526,"696,306","205,297","1,598,968",444214,"642,857","152,724","1,570,397",454819,"629,949","158,143","1,576,950",448445,"641,961","164,225","1,562,319",429074,"646,881","164,626","1,526,603",419028,"630,661","173,468","1,505,397"," 	7,634,504 ","11,498,168"," 	(3,863,664)",150.61%,N/A," 	1,533,749 ","209,249",14%
,Male,348441,"578,059","189,801","1,300,997",361887,"571,680","201,966","1,311,053",386094,"575,729","195,727","1,342,513",397275,"596,804","184,633","1,367,755",405203,"610,406","207,250","1,392,278",414322,"633,154","218,783","1,418,392",433545,"638,661","225,232","1,456,366",423307,"648,604","230,353","1,482,524",421048,"660,426","230,838","1,493,670",420975,"660,404","221,387","1,502,002",404876,"639,055","213,050","1,500,936",402266,"623,611","189,021","1,487,561",391829,"572,995","140,213","1,461,625",398815,"559,704","144,146","1,465,592",391985,"569,394","148,845","1,449,291",374176,"571,272","148,432","1,415,112",363258,"555,272","156,137","1,393,975"," 	6,739,302 ","10,265,230"," 	(3,525,928)",152.32%,N/A," 	1,425,979 ","190,930",13%
,Female,41293,"65,003","17,954","93,234",43535,"63,881","18,098","92,979",47865,"64,620","17,728","97,631",48281,"66,053","20,429","100,846",51893,"70,181","18,961","104,822",55827,"75,835","20,777","107,518",58770,"77,924","21,339","112,308",56403,"78,760","22,422","114,311",56052,"80,550","22,197","114,612",54022,"78,588","20,960","113,485",53484,"75,176","18,867","112,867",52260,"72,695","16,276","111,407",52385,"69,862","12,511","108,772",56004,"70,245","13,997","111,358",56460,"72,567","15,380","113,028",54898,"75,609","16,194","111,491",55770,"75,389","17,331","111,422"," 	895,202 ","1,232,938"," 	(337,736)",137.73%,N/A," 	107,770 ","18,319",17%
Federal ,Total,39303,"35,888","4,186","145,416",40193,"38,685","4,720","156,993",42303,"42,568","5,600","163,528",45713,"44,199","6,357","173,059",45796,"46,910","7,178","180,328",48723,"48,774","7,331","187,618",50204,"48,474","7,286","193,046",48691,"48,990","4,924","199,618",49270,"52,559","4,390","201,280",51524,"50,891","4,628","208,118",49515,"52,751","4,606","209,771",55817,"55,437","4,816","216,362",51241,"56,271","4,696","217,815",48818,"55,068","4,845","215,866",46145,"54,713","4,719","210,567",42573,"60,274","4,338","196,455",40432,"52,186","4,249","189,192"," 	796,261 ","844,638"," 	(48,377)",106.08%,N/A," 	192,061 ","5,228",3%
,Male,35609,"31,933","3,878","135,171",36086,"34,699","4,429","146,020",38150,"38,205","5,212","152,294",41364,"39,830","5,888","161,424",41528,"42,407","6,614","168,164",44110,"44,071","6,799","175,196",45464,"43,866","6,744","180,071",44008,"44,283","4,555","186,280",44742,"47,597","4,062","188,007",47006,"46,215","4,330","194,493",45030,"47,884","4,282","196,222",50940,"50,445","4,508","202,462",46351,"51,377","4,386","203,766",43864,"50,063","4,550","201,697",41502,"49,653","4,452","196,568",38155,"54,617","4,081","183,502",36141,"47,340","3,957","176,495"," 	720,050 ","764,485"," 	(44,435)",106.17%,N/A," 	179,284 ","4,866",3%
,Female,3694,"3,955",308,"10,245",4107,"3,986",291,"10,973",4153,"4,363",388,"11,234",4349,"4,369",469,"11,635",4268,"4,503",564,"12,164",4613,"4,703",532,"12,422",4740,"4,608",542,"12,975",4683,"4,707",369,"13,338",4528,"4,962",328,"13,273",4518,"4,676",298,"13,625",4485,"4,867",324,"13,549",4877,"4,992",308,"13,900",4890,"4,894",310,"14,049",4954,"5,005",295,"14,169",4643,"5,060",267,"13,999",4418,"5,657",257,"12,953",4291,"4,846",292,"12,697"," 	76,211 ","80,153"," 	(3,942)",105.17%,N/A," 	12,776 ",361,3%
State (Total) ,Total,350431,"607,174","203,569","1,248,815",365229,"596,876","215,344","1,247,039",391656,"597,781","207,855","1,276,616",399843,"618,658","198,705","1,295,542",411300,"633,677","219,033","1,316,772",421426,"660,215","232,229","1,338,292",442111,"668,111","239,285","1,375,628",431019,"678,374","247,851","1,397,217",427830,"688,417","248,645","1,407,002",423473,"688,101","237,719","1,407,369",408845,"661,480","227,311","1,404,032",398709,"640,869","200,481","1,382,606",392973,"586,586","148,028","1,352,582",406001,"574,881","153,298","1,361,084",402300,"587,248","159,506","1,351,752",386501,"586,607","160,288","1,330,148",378596,"578,475","169,219","1,316,205"," 	6,838,243 ","10,653,530"," 	(3,815,287)",155.79%,N/A," 	1,341,688 ","204,022",15%
,Male,312832,"546,126","185,923","1,165,826",325801,"536,981","197,537","1,165,033",347944,"537,524","190,515","1,190,219",355911,"556,974","178,745","1,206,331",363675,"567,999","200,636","1,224,114",370212,"589,083","211,984","1,243,196",388081,"594,795","218,488","1,276,295",379299,"604,321","225,798","1,296,244",376306,"612,829","226,776","1,305,663",373969,"614,189","217,057","1,307,509",359846,"591,171","208,768","1,304,714",351326,"573,166","184,513","1,285,099",345478,"521,618","135,827","1,257,859",354951,"509,641","139,596","1,263,895",350483,"519,741","144,393","1,252,723",336021,"516,655","144,351","1,231,610",327117,"507,932","152,180","1,217,480"," 	6,019,252 ","9,500,745"," 	(3,481,493)",157.84%,N/A," 	1,246,695 ","186,064",15%
,Female,37599,"61,048","17,646","82,989",39428,"59,895","17,807","82,006",43712,"60,257","17,340","86,397",43932,"61,684","19,960","89,211",47625,"65,678","18,397","92,658",51214,"71,132","20,245","95,096",54030,"73,316","20,797","99,333",51720,"74,053","22,053","100,973",51524,"75,588","21,869","101,339",49504,"73,912","20,662","99,860",48999,"70,309","18,543","99,318",47383,"67,703","15,968","97,507",47495,"64,968","12,201","94,723",51050,"65,240","13,702","97,189",51817,"67,507","15,113","99,029",50480,"69,952","15,937","98,538",51479,"70,543","17,039","98,725"," 	818,991 ","1,152,785"," 	(333,794)",140.76%,N/A," 	94,994 ","17,958",19%
Alabama ,Total,5499,"7,331",670,"26,406",6675,"8,100",618,"26,741",6135,"7,674",835,"27,947",9524,"10,191",0,"27,913",7371,"9,348",436,"25,887",8274,"10,659","1,432","27,888",8554,"11,492","1,464","28,241",9247,"11,315","1,436","29,412",9627,"11,865","1,393","30,508",10562,"12,644","1,539","31,874",9613,"12,488","1,439","31,764",9302,"11,646","1,242","32,270",9201,"11,958","1,116","32,431",9191,"12,181","1,105","32,381",8827,"12,327","1,137","31,771",8507,"12,367","1,136","30,810",7738,"13,625","1,234","28,883"," 	143,847 ","187,211"," 	(43,364)",130.15%,-0.26," 	29,596 ","1,072",4%
